02-15 15:18:24.846: D/Task_GetYomi.java[98:doInBackground_B18_v_2_0_d_t_2](25745): nWord1 => Element node
02-15 15:18:24.846: D/Task_GetYomi.java[123:doInBackground_B18_v_2_0_d_t_2](25745): nlWord1Surface.getLength()=1
02-15 15:18:24.846: D/Task_GetYomi.java[150:doInBackground_B18_v_2_0_d_t_2](25745): name=#text/value=?
02-15 15:18:24.846: D/Task_GetYomi.java[190:doInBackground_B18_v_2_0_d_t_2](25745): nlChildrenOfSurface.item(0)
02-15 15:18:24.846: D/Task_GetYomi.java[197:doInBackground_B18_v_2_0_d_t_2](25745): 1: Name=#text/Type=3/Value=?
02-15 15:18:24.846: D/Task_GetYomi.java[215:doInBackground_B18_v_2_0_d_t_2](25745): n.getChildNodes().getLength()0
02-15 15:18:24.846: W/dalvikvm(25745): threadid=9: thread exiting with uncaught exception (group=0x4001a560)
02-15 15:18:24.856: E/AndroidRuntime(25745): FATAL EXCEPTION: AsyncTask #1
02-15 15:18:24.856: E/AndroidRuntime(25745): java.lang.RuntimeException: An error occured while executing doInBackground()
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at android.os.AsyncTask$3.done(AsyncTask.java:200)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.FutureTask$Sync.innerSetException(FutureTask.java:274)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.FutureTask.setException(FutureTask.java:125)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:308)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.FutureTask.run(FutureTask.java:138)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1088)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:581)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.lang.Thread.run(Thread.java:1019)
02-15 15:18:24.856: E/AndroidRuntime(25745): Caused by: java.lang.ClassCastException: org.apache.harmony.xml.dom.TextImpl
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at sl.tasks.Task_GetYomi.doInBackground_B18_v_2_0_d_t_2(Task_GetYomi.java:220)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at sl.tasks.Task_GetYomi.doInBackground(Task_GetYomi.java:63)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at sl.tasks.Task_GetYomi.doInBackground(Task_GetYomi.java:1)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at android.os.AsyncTask$2.call(AsyncTask.java:185)
02-15 15:18:24.856: E/AndroidRuntime(25745): 	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:306)
